"id","user_choice","carrier_1","carrier_2","amount_of_delays_1","amount_of_delays_2","amount_of_flights_1","amount_of_flights_2","chance_of_accident_1","chance_of_accident_2","chance_of_delay_1","chance_of_delay_2","mean_of_delay_1","mean_of_delay_2","number_of_accidents_1","number_of_accidents_2"
"643","1","Spirit","Frontier","2823656","530019","8540784","1324472","0.00","0.00","0.33","0.40","14.37","14.50","648","0"
"644","1","United","Republic","139137108","2947750","429971388","11138260","0.00","0.00","0.32","0.26","12.70","10.67","10890","450"
"645","1","United","Atlantic","139137108","11143434","429971388","31170774","0.00","0.00","0.32","0.36","12.70","15.97","10890","918"
"646","1","Jetblue","Republic","18165240","2947750","48988935","11138260","0.00","0.00","0.37","0.26","16.17","10.67","2475","450"
"647","1","Southwest","USAirways","421452433","1069473","1196851644","3113545","0.00","0.00","0.35","0.34","10.22","9.55","12045","90"
"648","1","Envoy","Atlantic","6369892","11143434","17740932","31170774","0.00","0.00","0.36","0.36","13.31","15.97","564","918"
"649","1","Air","Endeavor","529686","1635432","1482255","5993664","0.00","0.00","0.36","0.27","10.80","10.87","0","279"
"650","1","Delux","Virgin","579635","145536","1483590","389060","0.00","0.00","0.39","0.37","14.46","13.78","0","0"
"651","1","Virgin","Air","145536","529686","389060","1482255","0.00","0.00","0.37","0.36","13.78","10.80","0","0"
"652","1","Northwest","Endeavor","1338000","1635432","3203925","5993664","0.00","0.00","0.42","0.27","12.10","10.87","120","279"
"653","1","Virgin","United","145536","139137108","389060","429971388","0.00","0.00","0.37","0.32","13.78","12.70","0","10890"
"654","1","Spirit","Air","2823656","529686","8540784","1482255","0.00","0.00","0.33","0.36","14.37","10.80","648","0"
"655","1","Frontier","Republic","530019","2947750","1324472","11138260","0.00","0.00","0.40","0.26","14.50","10.67","0","450"
"656","1","Comair","Endeavor","512409","1635432","1418873","5993664","0.00","0.00","0.36","0.27","14.28","10.87","81","279"
"657","1","Northwest","Endeavor","1338000","1635432","3203925","5993664","0.00","0.00","0.42","0.27","12.10","10.87","120","279"
